@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
117,15,5,63,0,0,?
78,0,5,21,0,0,?
66,4,2,25,0,0,?
32,0,1,1,0,0,?
29,0,1,1,0,0,?
62,3,2,19,0,0,?
36,0,2,2,0,0,?
47,2,1,3,0,0,?
53,1,3,11,0,0,?
39,2,1,1,0,0,?
25,0,1,0,0,0,?
42,1,1,2,0,0,?
32,0,1,1,0,0,?
30,0,1,0,0,0,?
62,4,2,9,0,3,?
51,3,3,12,0,0,?
66,3,7,0,0,0,?
25,0,0,0,0,0,?
42,1,1,3,0,0,?
43,0,3,3,0,0,?
58,3,5,0,0,0,?
25,0,0,0,0,0,?
54,0,4,2,0,0,?
33,1,1,1,0,0,?
86,6,4,18,0,0,?
37,0,2,0,0,0,?
29,0,1,1,0,0,?
58,2,2,8,0,2,?
29,0,2,0,0,0,?
48,3,3,1,0,0,?
62,1,2,17,0,0,?
152,12,8,34,0,1,?
136,12,7,34,0,1,?
39,1,1,10,0,0,?
93,0,9,11,0,0,?
60,3,4,7,0,0,?
32,1,2,1,0,0,?
23,0,1,0,0,0,?
34,0,1,3,0,0,?
23,0,1,0,0,0,?
26,0,1,0,0,0,?
61,5,3,9,0,0,?
67,10,4,10,0,0,?
160,13,13,31,0,8,?
110,14,7,39,1,5,?
78,4,4,2,0,4,?
118,9,9,34,1,4,?
23,0,0,0,0,0,?
152,12,8,34,0,1,?
136,12,7,34,0,1,?
40,1,1,10,0,0,?
60,3,4,7,0,0,?
32,1,2,1,0,0,?
23,0,1,0,0,0,?
34,0,1,3,0,0,?
91,0,9,9,0,0,?
23,0,1,0,0,0,?
26,0,1,0,0,0,?
61,5,3,9,0,0,?
67,10,4,10,0,0,?
160,13,13,31,0,8,?
110,14,7,39,1,5,?
78,4,4,2,0,4,?
118,9,9,34,1,4,?
23,0,0,0,0,0,?
47,1,2,7,0,1,?
103,5,6,20,0,3,?
43,3,2,3,0,0,?
91,2,7,16,0,0,?
34,1,2,1,0,0,?
38,1,2,0,0,0,?
51,3,1,9,0,0,?
51,1,3,15,0,0,?
39,1,2,2,0,0,?
111,3,9,41,0,0,?
77,6,3,23,0,0,?
67,4,8,0,0,0,?
46,0,4,4,0,0,?
92,4,7,12,0,1,?
27,0,3,0,0,0,?
50,3,3,6,0,1,?
41,2,2,5,0,1,?
24,0,1,0,0,0,?
24,0,1,0,0,0,?
48,1,5,0,0,0,?
44,1,2,2,0,0,?
75,6,2,16,0,0,?
40,0,2,2,0,0,?
